sch.id,math,size,sector,meanses,minority,female,ses
1224,5.876,842,0,-0.428,0,1,-1.528
1224,19.708,842,0,-0.428,0,1,-0.588
1224,20.349,842,0,-0.428,0,0,-0.528
1224,8.781,842,0,-0.428,0,0,-0.668
1224,17.898,842,0,-0.428,0,0,-0.158
1224,4.583,842,0,-0.428,0,0,0.022
1224,-2.832,842,0,-0.428,0,1,-0.618
1224,0.523,842,0,-0.428,0,0,-0.998
1224,1.527,842,0,-0.428,0,1,-0.888
1224,21.521,842,0,-0.428,0,0,-0.458
1224,9.475,842,0,-0.428,0,1,-1.448
1224,16.057,842,0,-0.428,0,1,-0.658
1224,21.178,842,0,-0.428,0,0,-0.468
1224,20.178,842,0,-0.428,0,1,-0.988
1224,20.349,842,0,-0.428,0,0,0.332
1224,20.508,842,0,-0.428,0,1,-0.678
1224,19.338,842,0,-0.428,0,0,-0.298
1224,4.145,842,0,-0.428,1,0,-1.528
1224,2.927,842,0,-0.428,0,1,0.042
1224,16.405,842,0,-0.428,0,0,-0.078
1224,13.653,842,0,-0.428,0,1,0.062
1224,6.558,842,0,-0.428,0,1,-0.128
1224,9.653,842,0,-0.428,0,1,0.472
1224,3.154,842,0,-0.428,0,0,-0.468
1224,4.753,842,0,-0.428,1,1,-1.248
1224,21.721,842,0,-0.428,0,0,-0.628
1224,5.166,842,0,-0.428,0,1,0.832
1224,6.399,842,0,-0.428,0,1,-0.568
1224,6.821,842,0,-0.428,0,1,-0.258
1224,9.255,842,0,-0.428,0,1,-0.138
1224,3.745,842,0,-0.428,0,1,-0.478
1224,0.858,842,0,-0.428,0,1,-0.948
1224,11.542,842,0,-0.428,0,1,0.282
1224,13.255,842,0,-0.428,0,1,-0.118
1224,10.557,842,0,-0.428,0,0,-0.878
1224,0.868,842,0,-0.428,0,0,-0.938
1224,8.296,842,0,-0.428,0,0,-0.548
1224,-1.688,842,0,-0.428,1,0,0.142
1224,2.059,842,0,-0.428,0,1,0.972
1224,6.714,842,0,-0.428,0,0,0.372
1224,0.122,842,0,-0.428,1,0,-1.658
1224,2.381,842,0,-0.428,0,1,-1.068
1224,16.336,842,0,-0.428,0,1,-0.248
1224,6.134,842,0,-0.428,0,1,-1.398
1224,23.584,842,0,-0.428,0,1,0.752
1224,14.053,842,0,-0.428,0,1,0.012
1224,2.183,842,0,-0.428,0,1,-0.418
1288,7.857,1855,0,0.128,0,1,-0.788
1288,10.171,1855,0,0.128,1,0,-0.328
1288,15.699,1855,0,0.128,0,0,0.472
1288,22.919,1855,0,0.128,0,1,0.352
1288,10.664,1855,0,0.128,1,1,-1.468
1288,13.543,1855,0,0.128,0,1,0.202
1288,18.207,1855,0,0.128,0,0,-0.518
1288,5.552,1855,0,0.128,1,0,-0.158
1288,7.416,1855,0,0.128,0,0,0.042
1288,18.792,1855,0,0.128,0,0,0.682
