y,groups,x
5.813339314551383,1,-17.314502807934346
-11.574243729699406,1,-1.0880468388584887
-29.302077826711564,1,19.956895359572727
4.889747205329041,1,-20.81641972225391
-5.282983520232522,1,-5.064560956824465
40.10206773254906,2,-1.8744803428432064
27.569623328399253,2,6.758536330516378
36.87112630070432,2,-7.456254971137227
9.366434269252302,2,25.906324441234275
39.06775755835113,2,-5.942589790354596
20.85674604893935,3,2.403976653328712
11.390082528628154,3,10.865507053395305
32.905408310309824,3,-9.751214941116814
41.77005622665739,3,-19.455819262793327
0.9559950732237739,3,22.872649796069
